#
4500.267	23.0	1.80	-2.795	-7.780	
4500.274	20.0	4.76	-1.112	-6.900	
4500.278	24.0	3.08	-0.350	-7.612	
4500.339	58.1	1.21	-0.970	0.000	
4500.354	22.1	1.08	-3.170	-7.840	
4500.400	60.1	1.12	-1.580	0.000	
4500.421	27.0	4.06	-1.729	-7.450	
4500.466	24.0	3.08	-4.119	-7.790	
4500.492	58.1	1.61	-0.890	0.000	
4500.493	24.0	4.53	-2.541	-7.560	
4500.543	25.1	5.99	-2.041	-7.860	
4500.543	27.1	3.41	-2.832	-7.890	
4500.559	27.0	3.71	-1.264	-7.510	
4500.587	58.1	0.81	-2.410	0.000	
4500.596	22.0	3.11	-1.820	-7.530	
4500.635	26.0	4.56	-1.645	-7.450	
4500.638	64.1	1.25	-1.590	0.000	
4500.662	24.0	5.27	-0.448	-7.550	
4500.698	24.0	5.28	-0.888	-7.490	
4500.751	68.1	1.82	0.037	0.000	
4500.778	23.0	1.87	-1.690	-7.760	
4500.812	58.1	1.41	-1.320	0.000	
4500.858	23.0	2.11	-1.260	-7.690	
4500.993	24.0	4.61	-1.309	-7.640	
4501.080	24.0	3.56	-0.342	-7.760	
4501.095	58.0	0.00	-0.994	0.000	
4501.100	24.0	2.92	-0.956	-7.770	
4501.238	23.0	1.86	-2.038	-7.800	
4501.239	112.0	0.39	-1.692	0.000	1.34
4501.270	22.1	1.12	-0.770	-7.850	
4501.279	42.0	2.28	-1.622	0.000	
4501.371	26.0	4.61	-3.248	-7.250	
4501.372	62.1	0.33	-2.119	0.000	
4501.500	60.1	0.74	-1.450	0.000	
4501.617	26.0	4.65	-3.288	-7.120	
4501.621	106.0	0.78	-2.619	0.000	3.47
4501.627	106.0	0.84	-2.415	0.000	3.47
4501.645	24.0	3.56	-1.140	-7.760	
4501.671	28.0	3.70	-2.657	-7.560	
4501.700	58.1	1.21	-1.220	0.000	
4501.772	24.0	2.92	-1.157	-7.621	
4501.810	60.1	0.20	-0.690	0.000	
4501.818	106.0	0.84	-2.366	0.000	3.47
4501.824	59.1	0.42	-0.410	0.000	
4501.854	22.0	2.49	-2.308	-7.490	
4501.964	23.0	1.38	-0.717	-7.698	
4501.967	106.0	0.78	-2.578	0.000	3.47
4502.010	23.0	1.38	-0.780	0.000	
4502.202	24.0	2.99	-3.310	-7.790	
4502.213	25.0	2.92	-0.345	-7.623	
4502.289	106.0	0.66	-3.522	0.000	3.47
4502.347	26.0	4.79	-3.042	-7.680	
4502.364	607.0	1.14	-1.558	0.000	7.63
4502.420	60.0	0.46	-0.280	0.000	
4502.421	26.0	4.61	-1.319	-7.250	
4502.443	112.0	0.19	-2.762	0.000	1.34
4502.451	607.0	1.14	-1.568	0.000	7.63
4502.574	58.1	1.25	-1.250	0.000	
4502.591	26.0	3.57	-2.350	-7.787	
4502.771	26.0	4.42	-3.931	-7.330	
4503.034	41.0	0.66	-0.980	0.000	
4503.052	24.0	4.70	-1.120	-7.520	
4503.201	25.1	5.99	-2.142	-7.860	
4503.231	66.1	0.93	-1.488	0.000	
4503.359	112.0	0.38	-1.907	0.000	1.34
4503.371	62.0	0.04	-0.650	0.000	
4503.584	26.0	4.56	-2.740	-7.270	
4503.632	20.0	4.74	-2.219	-6.870	
4503.757	22.0	2.13	-0.698	-7.520	
4503.791	64.0	0.12	-1.481	0.000	
4503.824	25.0	4.67	-0.765	-7.770	
4503.870	25.0	4.64	-0.450	-7.676	
4503.910	26.0	3.57	-4.177	-7.450	
4503.932	24.0	5.27	-0.633	-7.550	
4504.101	14.0	7.13	-2.589	-7.290	
4504.210	26.0	3.96	-3.088	-7.520	
4511.042	41.0	2.17	-0.190	0.000	
4511.046	26.0	3.94	-3.536	-7.510	
4511.118	24.0	3.17	-2.389	-7.280	
4511.193	44.0	1.69	-1.260	0.000	
4511.307	49.0	0.27	-0.213	0.000	
4511.317	62.0	0.50	-0.013	0.000	
4511.332	106.0	0.66	-3.445	0.000	3.47
4511.338	106.0	0.66	-3.037	0.000	3.47
4511.374	20.0	4.74	-1.761	-6.880	
4511.380	21.0	1.85	-1.872	-7.690	
4511.407	26.0	4.64	-2.622	-7.120	
4511.429	23.0	2.13	-1.000	-7.690	
4511.456	73.0	0.70	-1.730	0.000	
4511.500	23.0	1.05	-4.094	-7.770	
4511.559	106.0	0.67	-2.978	0.000	3.47
4511.641	58.1	1.21	-0.870	0.000	
4511.727	607.0	1.07	-1.601	0.000	7.63
4511.775	24.1	6.48	-1.375	-7.776	
4511.802	24.0	3.09	-2.547	-7.770	
4511.804	607.0	1.07	-1.612	0.000	7.63
4511.830	62.1	0.18	-0.820	0.000	
4511.844	22.0	2.25	-1.940	-7.680	
4511.847	112.0	0.19	-2.851	0.000	1.34
