#wl	elem	excit	loggf	vdwaals	Do
5533.031	42.0	1.33	0.066	0.0	 
5533.82	60.1	0.56	-0.994	0.0	 
5534.1918	24.0	4.4460000000000015	-1.661	-7.76	 
5534.2491	26.0	5.064	-4.109	-7.27	 
5534.3144	26.0	4.9910000000000005	-2.944	-7.14	 
5534.3251	26.0	3.267	-5.229	-7.82	 
5534.659	26.0	3.64	-2.869	-7.81	 
5534.845	26.1	3.25	-2.689	-7.883	 
5535.18	606.0	0.91	0.382	0.0	6.25
5535.32	60.1	1.41	-5.886	0.0	 
5535.344	23.0	0.02	-3.602	-7.763	 
5535.412	26.0	3.25	-7.072	-7.82	 
5535.418	26.0	4.19	-1.158	-7.8	 
5535.52	56.0	0.0	-0.111	0.0	 
5535.55	26.0	6.15	0.336	-7.51	 
5536.053	606.0	0.53	-2.101	0.0	6.25
5536.074	606.0	0.78	0.328	0.0	6.25
5536.086	606.0	0.53	-4.641	0.0	6.25
5536.156	606.0	0.78	-6.09	0.0	6.25
5536.249	606.0	0.53	0.12	0.0	6.25
5542.715	23.0	0.02	-3.389	-7.78	 
5543.030	26.0	4.19	-3.97	-7.47	 
5543.040	26.0	3.69	-3.741	-7.81	 
5543.187	26.0	3.69	-1.470	0.0	 
5543.189	26.0	4.91	-2.413	-7.29	 
5543.936	26.0	4.22	-1.04	-7.263	 
5544.147	606.0	0.5	-7.692	0.0	6.25
5544.167	606.0	0.95	0.471	0.0	6.25
5544.284	606.0	0.95	-4.258	0.0	6.25
5544.328	606.0	0.54	-3.477	0.0	6.25
5544.611	39.1	1.74	-0.83	-7.75	 
5545.921	23.0	1.06	-1.960	-7.593	 
5545.934	27.0	4.11	-0.483	-7.51	 
5546.009	39.1	1.75	-1.200	-7.75	 
5546.506	26.0	4.37	-1.21	-7.224	 
5546.714	24.0	2.98	-3.67	-7.79	 
5546.725	26.0	5.01	-2.043	-7.4	 
5546.969	27.0	4.23	-1.032	-7.51	 
5546.99	26.0	4.22	-1.805	-7.263	 
5547.056	23.0	1.08	-1.111	-7.59	 
5553.104	606.0	0.79	0.03	0.0	6.25
5553.160	6.0	8.64	-1.812	-6.97	 
5553.221	26.0	4.22	-3.074	-7.5	 
5553.58	26.0	4.43	-1.211	-7.188	 
5553.69	28.0	1.94	-3.23	-7.783	 
5554.741	26.0	5.03	-2.822	-7.28	 
5554.894	26.0	4.55	-0.156	-7.125	 
5555.102	606.0	0.46	-4.238	0.0	6.25
5555.122	26.0	4.14	-2.142	-7.8	 
5555.184	26.0	3.55	-9.303	-7.82	 
5555.193	606.0	0.46	-0.321	0.0	6.25
5555.197	24.0	3.56	-2.307	-7.79	 
5555.346	606.0	0.46	-5.144	0.0	6.25
5555.441	606.0	0.78	0.167	0.0	6.25
5555.569	24.0	3.56	-1.664	-7.79	 
5555.617	606.0	0.78	-5.107	0.0	6.25
5555.634	606.0	0.88	0.384	0.0	6.25
5555.719	606.0	0.91	-3.945	0.0	6.25
5555.746	25.0	4.35	-0.83	-7.77	 
5555.762	606.0	0.88	-2.758	0.0	6.25
5559.23	606.0	0.98	-1.789	0.0	6.25
5559.639	26.0	4.99	-1.651	-7.3	 
5559.845	606.0	0.86	0.25	0.0	6.25
5559.860	20.0	4.78	-2.54	-7.23	 
5559.752	44.0	0.928	-1.86	0.0	 
5559.8596	20.0	4.78	-2.54	-7.23	 
5559.893	26.0	4.638	-1.661	-7.31	 
5560.2115	26.0	4.435	-1.09	0.0	 
5560.2832	26.1	6.703	-4.107	0.0	 
5560.547	23.0	0.04	-3.59	-7.761	 
5560.675	606.0	0.5	-0.368	0.0	6.25
5561.445	58.1	1.46	0.028	0.0	 
5561.659	606.0	0.73	0.372	0.0	6.25
5561.663	23.0	1.71	-1.526	-7.74	 
5561.717	606.0	0.74	-7.888	0.0	6.25
5562.092	28.0	4.54	-2.794	-7.27	 
5562.115	26.0	4.39	-2.278	-7.51	 
5562.273	606.0	0.49	0.222	0.0	6.25
5562.484	606.0	0.44	0.073	0.0	6.25
5562.704	26.0	3.27	-4.891	-7.81	 
5562.706	26.0	4.43	-0.6409999999999999	-7.52	 
5563.600	26.0	4.19	-0.75	-7.268	 
5563.669	24.0	3.42	-2.376	-7.76	 
5563.671	27.0	3.57	-2.377	-7.55	 
5563.676	26.0	4.14	-2.98	-7.45	 
5563.693	26.0	2.42	-3.414	-7.75	 
5564.143	606.0	0.49	-0.626	0.0	6.25
5564.577	606.0	0.49	-3.793	0.0	6.25
5565.449	606.0	0.71	-4.695	0.0	6.25
5565.474	22.0	2.24	-0.261	-7.73	 
5565.48	26.1	6.73	-2.777	-7.89	 
5565.685	26.0	0.05	-7.414	-7.82	 
5565.704	26.0	4.61	-0.213	-7.41	 
5565.742	606.0	0.43	0.612	0.0	6.25
5565.912	23.0	1.05	-2.823	-7.595	 
5565.945	27.0	4.23	-1.244	-7.51	 
5565.955	606.0	0.53	-2.365	0.0	6.25
5565.968	58.0	0.47	-4.274	0.0	 
5566.073	26.0	6.17	-0.14	-7.51	 
5566.42	606.0	0.35	-6.176	0.0	6.25
5566.72	16.0	8.05	-0.485	-6.43	 
5566.722	26.0	5.01	-2.571	-7.3	 
5566.759	606.0	0.49	-2.836	0.0	6.25
5566.799	26.0	3.25	-4.057	-7.79	 
5567.276	26.0	4.42	-1.992	-7.51	 
5567.391	26.0	2.61	-2.547	-7.565	 
5567.755	25.0	5.52	0.426	-7.58	 
5567.761	39.0	1.92	-0.862	-7.68	 
5567.82	58.0	1.06	-6.198	0.0	 
5567.831	26.1	6.73	-1.866	-7.89	 
5568.074	26.0	4.15	-2.807	-7.51	 
5568.86	26.0	3.63	-2.841	-7.77	 
5569.034	606.0	0.42	-0.766	0.0	6.25
5569.037	44.0	1.0	-2.79	0.0	 
5569.112	606.0	0.68	-0.171	0.0	6.25
5569.143	606.0	0.42	-6.405	0.0	6.25
5569.618	26.0	3.42	-0.517	-7.204	 
5570.051	26.0	2.85	-4.277	-7.83	 
5570.262	606.0	0.48	-3.906	0.0	6.25
5570.444	42.0	1.33	-0.337	0.0	 
5570.539	25.1	6.18	-1.4340000000000002	-7.88	 
5570.578	24.0	4.11	-1.666	-7.77	 
5570.58	606.0	0.67	-3.502	0.0	6.25
5572.11	606.0	0.66	-0.067	0.0	6.25
5572.193	58.0	0.17	-5.007	0.0	 
5572.204	26.0	3.25	-4.3	-7.83	 
5572.382	606.0	0.41	-6.252	0.0	6.25
5572.402	26.0	4.99	-2.411	-7.18	 
5572.664	606.0	0.41	-6.459	0.0	6.25
5572.842	26.0	3.4	-0.289	-7.211	 
5573.102	26.0	4.19	-1.295	-7.57	 
5573.409	62.0	0.39	-1.952	0.0	 
5573.554	606.0	0.65	0.001	0.0	6.25
5573.659	25.0	5.54	0.35	-7.58	 
5573.707	27.0	4.23	-1.7009999999999998	-7.51	 
5573.724	25.0	4.36	-1.664	-7.77	 
5573.734	606.0	0.65	-4.652	0.0	6.25
5573.757	26.0	5.07	-2.852	-7.31	 
5574.01	23.0	0.04	-3.707	-7.78	 
5574.393	24.0	4.45	-1.349	-7.76	 
5575.36	606.0	0.39	-0.826	0.0	6.25
5575.523	606.0	0.4	-0.512	0.0	6.25
5575.645	606.0	0.4	-0.385	0.0	6.25
5575.831	606.0	0.47	-0.332	0.0	6.25
5576.089	26.0	3.43	-0.9	-7.201	 
5576.209	606.0	0.62	0.142	0.0	6.25
5576.502	23.0	1.06	-2.232	-7.75	 
5577.025	26.0	5.03	-1.422	-7.39	 
5577.321	606.0	0.61	-0.349	0.0	6.25
5577.339	8.0	1.97	-8.172	0.0	 
5577.39	606.0	0.61	-0.143	0.0	6.25
5578.372	23.0	1.05	-2.204	-7.75	 
5578.718	28.0	1.68	-2.83	-7.673	 
5579.009	606.0	0.39	-0.165	0.0	6.25
5579.34	26.0	4.23	-2.196	-7.263	 
5581.521	606.0	0.38	-0.256	0.0	6.25
5581.97	20.0	2.52	-0.371	-7.538	 
5582.107	23.0	1.93	-2.759	-7.8	 
5582.273	606.0	0.72	-0.02	0.0	6.25
5582.29	606.0	0.57	-0.139	0.0	6.25
5582.417	606.0	0.72	0.131	0.0	6.25
5582.431	23.1	2.37	-2.935	-7.86	 
5582.711	606.0	0.56	0.022	0.0	6.25
5582.73	58.0	0.17	-3.951	0.0	 
5582.809	606.0	0.56	-0.21	0.0	6.25
5582.96	606.0	0.56	0.194	0.0	6.25
5585.645	26.0	4.23	-3.865	-7.5	 
5585.987	23.0	1.86	-1.366	-7.83	 
5586.267	26.0	4.64	-2.127	-7.31	 
5586.285	24.0	4.61	-2.256	-7.75	 
5586.76	26.0	3.37	-0.166	-7.221	 
5586.766	26.0	4.26	0.139	-7.53	 
5587.574	26.0	4.14	-1.75	-7.8	 
5587.858	28.0	1.94	-2.39	-7.783	 
5587.874	606.0	0.36	0.573	0.0	6.25
5588.759	20.0	2.53	0.353	-7.538	 
5589.01	26.0	4.47	-3.439	-7.51	 
5589.358	28.0	3.9	-1.029	-7.221	 
5589.851	26.0	5.07	-1.264	-7.43	 
5590.114	20.0	2.52	-0.5710000000000001	-7.539	 
5590.151	26.0	4.1	-1.925	-7.55	 
5590.666	27.0	2.04	-2.714	-7.82	 
5590.718	27.0	2.04	-2.376	-7.82	 
5590.727	27.0	2.04	-6.879	-7.82	 
5590.784	27.0	2.04	-2.604	-7.82	 
5590.812	27.0	2.04	-2.421	-7.82	 
5590.818	27.0	2.04	-3.95	-7.82	 
5591.359	26.1	3.27	-4.356	-7.883	 
5591.363	21.0	1.99	-0.57	-7.83	 
5593.735	28.0	3.9	-0.684	-7.222	 
5594.42	60.1	1.12	1.085	0.0	 
5594.465	20.0	2.52	0.044	-7.539	 
5594.655	26.0	4.55	-0.657	-7.51	 
5595.06	26.0	5.06	-1.631	-7.37	 
5597.805	24.0	3.84	-1.508	-7.34	 
5598.295	26.0	4.65	-0.306	-7.085	 
5598.425	26.0	3.63	-7.385	-7.75	 
5598.466	26.0	2.42	-8.272	-7.77	 
5598.48	20.0	2.52	-0.087	-7.541	 
5598.825	606.0	0.62	0.047	0.0	6.25
6454.937	27.0	3.63	-3.616	-7.222	 
6454.941	27.0	3.63	-2.769	-7.222	 
6454.948	27.0	3.63	-1.9	-7.222	 
6454.95	27.0	3.63	-1.1909999999999998	-7.222	 
6454.958	27.0	3.63	-2.182	-7.222	 
6454.964	27.0	3.63	-1.36	-7.222	 
6454.969	27.0	3.63	-1.746	-7.222	 
6454.972	27.0	3.63	-1.328	-7.222	 
6454.982	27.0	3.63	-1.349	-7.222	 
6454.989	27.0	3.63	-1.48	-7.222	 
6455.006	27.0	3.63	-1.362	-7.222	 
6455.014	27.0	3.63	-1.846	-7.222	 
6455.016	27.0	3.63	-1.862	-7.222	 
6455.034	27.0	3.63	-1.165	-7.222	 
6455.044	27.0	3.63	-1.54	-7.222	 
6455.045	27.0	3.63	-1.562	-7.222	 
6455.079	27.0	3.63	-1.88	-7.222	 
6455.118	27.0	3.63	-3.232	-7.222	 
6455.603	20.0	2.52	-1.24	-7.57	 
6456.385	26.1	3.9	-1.994	-7.873	 
6456.871	26.0	4.8	-4.0280000000000005	-7.51	 
6456.875	20.1	8.44	0.419	-7.377	 
6457.319	607.0	0.5	-1.888	0.0	7.63
6457.372	14.0	5.96	-2.078	-6.82	 
6469.117	26.0	2.4	-4.493	-7.79	 
6469.192	26.0	4.83	-0.623	-7.15	 
6470.017	24.0	5.85	-0.385	-7.33	 
6470.2	40.0	1.58	-0.259	0.0	 
6480.961	607.0	0.56	-1.811	0.0	7.63
6481.875	26.0	2.28	-2.961	-7.646	 
6482.200	26.1	6.22	-1.693	-7.871	 
6482.252	60.1	0.32	-1.981	0.0	 
6482.804	28.0	1.94	-2.665	-7.679	 
6491.580	22.1	2.06	-1.89	-7.85	 
6491.666	25.0	3.76	-1.298	-7.513	 
6493.041	26.0	5.58	-1.485	-7.763	 
6493.788	20.0	2.52	-0.027	-7.571	 
6494.498	26.0	4.73	-1.456	-7.51	 
6494.994	26.0	2.4	-1.253	-7.629	 
6495.745	26.0	4.83	-0.840	-7.154	 
6496.473	26.0	4.8	-0.465	-7.175	 
6496.869	607.0	0.53	-8.191	0.0	7.63
6496.885	56.1	0.604	-1.143	-7.578	 
6496.885	56.1	0.604	-1.140	-7.578	 
6496.897	56.1	0.604	-0.407	-7.578	 
6496.898	56.1	0.604	-0.407	-7.578	 
6496.899	56.1	0.604	-0.407	-7.578	 
6496.900	56.1	0.604	-0.503	-7.578	 
6496.900	56.1	0.604	-0.507	-7.578	 
6497.684	22.0	1.44	-2.02	-7.75	 
6498.945	26.0	0.96	-4.537	-7.782	 
6499.650	20.0	2.52	-0.818	-8.162	 
6518.373	26.0	2.83	-2.431	-7.609	 
6518.741	14.0	5.95	-1.373	-6.89	 
6519.014	24.0	5.21	-0.7120000000000001	-7.51	 
6519.355	25.0	3.77	-1.25	-7.513	 
6519.400	22.0	3.57	-1.2919999999999998	-7.52	 
6519.722	606.0	1.72	-4.768	0.0	6.25
6532.543	26.0	5.52	-3.889	-7.42	 
6532.553	607.0	0.6	-1.95	0.0	7.63
6532.876	28.0	1.94	-3.26	-7.681	 
6533.110	23.1	1.14	-3.368	0.0	 
6533.928	26.0	4.56	-1.36	-7.182	 
6546.242	26.0	2.76	-1.588	-7.626	 
6546.269	22.0	1.43	-1.31	-7.75	 
6546.943	607.0	0.72	-1.467	0.0	7.63
6591.313	26.0	4.59	-1.935	-7.697	 
6591.592	64.0	0.21	-0.495	0.0	 
6591.605	607.0	0.79	0.004	0.0	6.25
6592.513	28.0	4.24	-0.936	-7.5	 
6592.921	26.0	2.73	-1.464	-7.633	 
6593.879	22.0	3.31	-2.265	-7.55	 
6593.880	26.0	2.43	-2.400	-7.629	 
6595.7071	24.0	4.099	-2.155	-7.56	 
6595.8642	27.0	3.713	-0.549	-7.55	 
6595.8768	22.0	0.0	-7.93	-7.77	 
6597.565	26.0	4.8	-0.970	-7.52	 
6598.605	28.0	4.24	-0.823	-7.218	 
6599.11	22.0	0.9	-1.938	-7.667	 
6604.586	26.0	4.83	-1.819	-7.52	 
6604.595	21.1	1.36	-1.163	-7.85	 
6605.542	24.0	4.14	-0.937	-7.31	 
6605.882	22.1	4.01	-1.44	-7.84	 
6605.974	23.0	1.2	-1.128	-7.626	 
6606.451	23.0	1.05	-3.934	-7.81	 
6606.724	26.0	5.51	-2.004	-7.17	 
6606.950	22.1	2.06	-2.753	-7.85	 
6607.259	16.0	9.98	-2.807	-6.93	 
6607.339	22.0	3.32	-2.139	-7.55	 
6607.825	23.0	1.35	-1.875	-7.638	 
6608.030	26.0	2.28	-3.912	-7.648	 
6609.115	26.0	2.56	-2.691	-7.61	 
6609.566	20.0	5.84	-7.869	-6.45	 
6609.678	26.0	0.99	-5.2	-7.83	 
6623.717	27.0	2.08	-3.079	-7.82	 
6623.771	27.0	2.08	-7.036	-7.82	 
6623.779	26.0	4.07	-6.633	-7.64	 
6623.817	27.0	2.08	-3.082	-7.82	 
6623.928	26.0	5.65	-9.697	-7.06	 
6623.941	27.0	2.08	-3.364	-7.82	 
6624.335	26.0	5.39	-1.851	-7.28	 
6624.339	25.0	5.86	-9.757	-7.7	 
6624.838	23.0	1.22	-1.268	-7.623	 
6625.023	26.0	1.01	-5.272	-7.83	 
6627.240	26.1	7.27	-1.779	-7.86	 
6627.546	26.0	4.55	-1.590	-7.25	 
6633.410	26.0	4.83	-1.390	-7.176	 
6633.755	26.0	4.56	-0.633	-7.198	 
6634.112	26.0	4.8	-1.08	-7.195	 
6635.122	28.0	4.42	-0.662	-7.227	 
6635.405	607.0	0.78	-5.092	0.0	7.63
6635.685	26.0	4.43	-8.273	-7.54	 
6635.687	14.0	5.86	-1.799	-7.02	 
6639.434	607.0	0.73	-1.693	0.0	7.63
6639.694	26.0	4.61	-1.72	-7.53	 
6639.876	26.0	4.08	-2.46	-7.184	 
6640.471	606.0	1.63	-4.8	0.0	6.25
6640.48	607.0	0.89	-1.489	0.0	7.63
6640.486	606.0	1.35	-7.497	0.0	6.25
6646.935	26.0	2.61	-3.903	-7.604	 
6647.803	28.0	4.42	-2.016	-7.21	 
6648.086	26.0	1.01	-5.918	-7.83	 
6652.97	26.0	5.52	-2.156	0.0	 
6653.261	607.0	0.8	-1.641	0.0	7.63
6653.85	26.0	4.15	-2.381	-7.153	 
6654.517	607.0	0.74	-1.709	0.0	7.63
6654.61	6.0	9.0	-2.612	-7.009	 
6662.422	26.0	4.45	-3.607	-7.54	 
6662.469	606.0	1.05	-4.335	0.0	6.25
6662.471	607.0	0.77	-1.594	0.0	7.63
6662.921	607.0	0.8	-1.543	0.0	7.63
6663.231	26.0	4.56	-1.039	-7.53	 
6663.448	26.0	2.42	-2.479	-7.606	 
6664.312	607.0	0.85	-1.267	0.0	7.63
6676.613	26.0	5.49	-2.161	-7.14	 
6676.866	26.0	4.56	-3.091	-7.57	 
6677.179	22.0	2.49	-1.02	-7.71	 
6677.953	26.0	2.56	-3.669	-7.79	 
6677.995	26.0	2.69	-1.354	-7.643	 
6678.569	22.0	2.25	-1.36	-7.73	 
6678.809	27.0	1.96	-2.68	-7.749	 
6703.36	607.0	0.88	-7.547	0.0	7.63
6703.57	26.0	2.76	-2.947	-7.633	 
6703.947	607.0	0.81	-1.635	0.0	7.63
6703.998	607.0	0.81	-1.927	0.0	7.63
6704.48	26.0	4.22	-2.555	-7.54	 
6704.612	22.0	3.32	-2.307	-7.55	 
6705.106	26.0	4.61	-0.870	-7.48	 
6705.106	26.0	4.96	-2.379	-7.42	 
6709.893	20.0	2.93	-3.061	-7.312	 
6710.322	26.0	1.49	-4.768	-7.733	 
6711.169	26.0	5.61	-2.788	-7.1	 
6711.225	25.0	5.92	-8.611	-7.71	 
6711.315	6.0	8.54	-2.084	-7.23	 
#6711.579	28.0	1.99	-3.991	-7.8	 
#6711.820	26.0	4.96	-1.380	-7.31	 
#6711.828	607.0	0.88	-2.312	0.0	7.63
6712.455	26.0	4.99	-2.059	-7.122	 
6713.044	26.0	4.61	-1.480	-7.53	 
6713.195	26.0	4.14	-2.449	-7.7	 
6713.743	26.0	4.80	-1.500	-7.207	 
6724.646	26.0	5.61	-1.432	-7.18	 
6724.725	58.1	1.96	-0.079	0.0	 
6724.726	62.0	2.09	0.566	0.0	 
6725.360	26.0	4.10	-2.050	-7.181	 
6725.714	16.0	9.5	-6.151	-7.23	 
6725.738	16.0	9.5	-7.525	-7.23	 
6726.284	8.0	9.15	-2.324	0.0	 
6726.670	26.0	4.61	-0.927	-7.5	 
6731.800	62.0	1.17	-0.74	0.0	 
6732.044	23.0	1.89	-1.758	-7.8	 
6732.065	26.0	4.58	-2.142	-7.7	 
6733.150	26.0	4.64	-1.300	-7.247	 
6733.538	606.0	1.03	0.19	0.0	6.25
6733.678	26.0	5.68	-7.194	-7.01	 
6734.114	24.0	5.27	-0.972	-7.51	 
6734.200	24.0	4.19	-0.957	-7.28	 
6734.312	607.0	1.02	-1.267	0.0	7.63
6734.990	26.0	4.43	-2.981	-7.54	 
6737.268	26.0	3.27	-4.209	-7.82	 
6737.985	26.0	4.56	-1.573	-7.213	 
6738.215	26.0	5.35	-1.351	-7.33	 
6738.620	22.0	3.39	-0.438	-7.628	 
6738.660	21.0	4.82	-2.931	-6.78	 
6738.842	26.0	4.84	-1.878	-7.52	 
6739.205	29.0	6.99	1.293	-7.31	 
6739.520	26.0	1.56	-4.794	-7.726	 
6740.078	60.1	0.06	-1.615	0.0	 
6740.415	14.0	6.1	-2.551	-6.74	 
6740.942	607.0	0.81	-1.871	0.0	7.63
6741.0	607.0	0.93	-1.648	0.0	7.63
6741.418	21.0	5.89	-4.168	-6.9	 
6741.628	14.0	5.98	-1.523	-6.92	 
6741.915	607.0	0.9	-1.55	0.0	7.63
6742.297	26.0	4.96	-2.583	-7.42	 
6742.587	28.0	4.42	-2.643	-7.56	 
6743.122	22.0	0.9	-1.635	-7.67	 
6743.483	16.0	7.87	-1.03	-7.16	 
6743.54	16.0	7.87	-1.071	-7.16	 
6743.58	16.0	7.87	-7.222	-7.16	 
6743.64	16.0	7.87	-0.815	0.0	 
6745.100	26.0	4.58	-2.04	-7.726	 
6745.544	22.0	2.24	-1.23	-7.72	 
6745.956	26.0	4.08	-2.617	-7.82	 
6746.333	22.0	1.89	-2.21	-7.73	 
6750.158	26.0	2.42	-2.618	-7.609	 
6752.707	26.0	4.64	-1.204	-7.249	 
6753.464	26.0	4.56	-2.209	-7.216	 
6785.751	26.0	4.58	-2.34	-7.77	 
6785.850	26.0	4.08	-2.649	-7.8	 
6786.010	24.0	4.1	-1.067	-7.7	 
6786.178	606.0	0.94	-5.139	0.0	6.25
6786.230	24.0	5.94	0.909	-7.33	 
6786.425	26.0	3.24	-3.769	-7.82	 
6786.858	26.0	4.19	-1.97	-7.152	 
6787.117	40.1	2.49	-1.17	0.0	 
6062.6729	24.0	3.195	-1.566	-7.52
6062.8472	26.0	2.176	-4.040	-7.691
6062.9435	26.0	4.988	-1.614	-7.31
6063.1178	24.0	3.890	-2.152	-7.61
#6063.3076	26.0	4.913	-0.888	-7.35
6064.6262	22.0	1.046	-1.888	-7.77
6065.4914	26.0	2.609	-1.529	-7.584
6065.8001	26.0	3.301	-4.236	-7.83
6066.6702	26.0	5.539	-2.075	-7.06
6067.6235	14.0	5.082	-3.103	-7.29
6067.7767	26.0	5.033	-2.575	-7.3
6086.6572	27.0	3.409	-0.831	-7.73
6086.9322	23.1	2.556	-2.340	-7.86
6087.159	14.0	5.984	-2.132	-6.66
6087.6972	14.0	5.871	-2.365	-6.86
6087.8047	14.0	5.871	-1.815	-6.86
6087.8819	26.0	4.186	-3.421	-7.79
6090.0518	25.0	4.354	-1.502	-7.77
6090.2084	23.0	1.081	-0.070	-7.613
6091.1684	22.0	2.267	-1.605	-7.74
6091.1694	22.0	2.267	-1.587	-7.74
6091.1708	22.0	2.267	-0.452	-7.74
6091.1719	22.0	2.267	-1.449	-7.74
6091.1733	22.0	2.267	-1.404	-7.74
6091.7187	26.0	4.607	-2.412	-7.51
6091.9188	14.0	5.871	-1.463	-6.87
6163.3968	28.0	4.105	-2.092	-7.51
6163.413	28.0	4.105	-1.234	-7.51
6163.4311	28.0	4.105	-0.820	-7.51
6163.5433	26.0	2.198	-3.619	-7.661
6163.755	20.0	2.521	-1.286	-7.146
#6164.5463	26.0	5.314	-1.159	-7.5
6165.1218	26.0	5.086	-2.420	-7.33
6165.3595	26.0	4.143	-1.474	-7.78
6165.8131	26.0	5.352	-2.239	-7.22
6165.940	59.1	0.923	-0.205	0
6166.0078	26.0	5.064	-2.526	-7.32
6166.439	20.0	2.521	-1.142	-7.146
#6167.8589	26.0	4.786	-1.922	-7.78
6168.2235	24.0	4.785	-0.589	-7.54
6170.3661	23.0	0.287	-2.290	-7.74
6170.5055	26.0	4.796	-0.440	-7.119
6170.5559	28.0	4.105	-2.015	-7.5
6170.5758	28.0	4.105	-1.601	-7.5
6170.6136	28.0	4.088	-2.272	-7.51
6170.8361	26.0	5.086	-1.704	-7.32
6171.0091	26.0	4.733	-1.985	-7.51
6172.0393	24.0	4.106	-1.285	-7.8
6173.3339	26.0	2.223	-2.880	-7.69
6175.1368	26.1	6.223	-2.086	-7.873
6175.3555	28.0	4.089	-2.563	-7.51
6175.3579	28.0	4.089	-1.969	-7.51
6175.3604	28.0	4.089	-2.473	-7.51
6175.3625	28.0	4.089	-1.111	-7.51
6175.3694	28.0	4.089	-0.697	-7.51
6175.8178	16.0	8.046	-0.964	-6.88
6185.6839	25.0	4.332	-3.619	-7.770	
6185.6927	26.0	5.649	-0.685	-7.510	
6185.6927	23.0	2.678	-2.914	-7.76
6186.1406	22.0	2.175	-1.270	-7.77
6186.2182	26.0	5.385	-1.573	-7.1
6186.6803	28.0	4.105	-2.399	-7.51
6186.6987	28.0	4.105	-1.541	-7.51
6186.7188	28.0	4.105	-1.127	-7.51
6186.8158	26.0	4.415	-2.957	-7.53
6187.3975	26.0	2.832	-4.158	-7.73
6187.9888	26.0	3.943	-1.620	-7.179
6188.5002	26.0	5.352	-4.095	-7.11
6188.9963	27.0	1.710	-2.450	-7.73
6190.3982	26.0	5.273	-1.950	-7.4
6226.7338	26.0	3.884	-2.120	-7.208
6227.4870	26.0	5.458	-3.030	-7.110	
6227.5034	26.0	5.320	-3.309	-7.270	
6229.2255	26.0	2.845	-2.805	-7.592
6229.3404	26.1	2.828	-5.041	-7.91
6230.0761	28.0	4.105	-1.260	-7.51
#6230.0971	28.0	4.105	-1.427	-7.51
6230.5626	20.0	4.744	-1.053	-7.35
6230.7318	26.0	2.559	-1.281	-7.597
6230.7980	23.0	0.267	-1.370	-7.742
6230.9897	27.0	1.785	-2.490	-7.723
6232.4328	27.0	3.409	-1.295	-7.73
6232.5552	58.0	2.108	-1.470	-7.20
6232.6399	26.0	3.654	-1.223	-7.54
6232.6599	26.0	5.012	-5.243	-7.29
6233.1738	23.0	0.275	-2.070	-7.742
6233.4513	69.1	4.140	-1.990	0	
6233.4950	57.0	0.929	-1.070	0	
6233.5304	26.1	5.484	-2.832	-7.769
#6233.636	26.0	5.086	-1.048	-7.32
#6234.4912	22.1	1.893	-3.150	-7.84
6320.376	57.1	0.173	-1.650	0
6320.851	21.1	1.500	-1.816	-7.830
6320.4181	27.0	4.395	-0.107	-7.5
6320.8513	21.0	1.500	-1.816	-7.83
6321.2669	23.0	3.315	0.337	-7.53
6322.1511	28.0	4.154	-1.751	-7.5
6322.1747	28.0	4.154	-1.337	-7.5
6322.6850	26.0	2.588	-2.426	-7.596
6322.8249	26.0	5.693	-1.896	-7.51
6325.1632	22.0	0.021	-3.757	-7.77
6696.185	13.0	4.022	-1.576	0
6696.3152	26.0	4.835	-1.670	-7.185
6696.788	13.0	4.022	-1.421	0
6697.3762	26.0	5.828	-1.260	-7.54
6698.673	13.0	3.143	-1.760	0
6699.1408	26.0	4.593	-2.101	-7.667
6700.9061	28.0	4.266	-2.366	-7.5
6701.4176	14.0	5.964	-2.634	-6.91
