#wl	elem	excit	loggf	vdwaals	Do
5381.77	27.0	4.24	-0.158	-7.51	 
5382.256	26.0	0.12	-8.998	-7.82	 
5382.273	26.0	5.67	-0.434	-7.39	 
5382.913	22.0	1.87	-2.05	-7.77	 
5383.378	26.0	4.31	0.555	-7.219	 
5383.407	27.0	4.15	-0.682	-7.51	 
5383.408	23.0	2.58	-0.31	-7.52	 
5384.156	23.0	3.87	-5.883	-7.27	 
5384.630	22.0	0.83	-2.77	-7.639	 
5384.870	23.1	2.27	-2.353	-7.87	 
5385.132	40.0	0.52	-0.664	0.0	 
5388.342	28.0	1.94	-3.328	-7.774	 
5388.481	24.0	3.55	-3.559	-7.78	 
5388.503	25.0	3.37	-1.69	-7.531	 
5389.169	22.0	0.81	-2.35	-7.642	 
5389.485	26.0	4.42	-0.410	-7.159	 
5389.501	64.0	1.31	3.823	0.0	 
5389.844	26.0	4.99	-1.503	-7.43	 
5389.872	606.0	1.09	-3.653	0.0	6.25
5389.975	22.1	3.12	-3.76	-7.83	 
5389.989	22.0	1.87	-1.1	-7.77	 
5390.38	24.0	3.37	-0.995	-7.77	 
5390.523	58.1	0.96	0.9	0.0	 
5390.77	27.0	4.05	-0.8440000000000001	-7.51	 
5391.057	22.0	1.88	-1.96	-7.77	 
5391.339	24.0	3.37	-1.178	-7.77	 
5391.366	24.0	4.54	-1.145	-7.78	 
5391.459	26.0	4.15	-0.782	-7.53	 
5391.592	22.0	0.90	-4.597	-7.77	 
5391.623	26.0	3.63	-4.137	-7.82	 
5391.656	29.0	5.51	-0.638	-7.59	 
5392.015	26.0	4.8	-2.139	-7.32	 
5392.078	21.0	1.99	0.166	-7.56	 
5392.331	28.0	4.15	-1.226	-7.192	 
5392.356	28.0	3.8	-3.813	-7.51	 
5393.172	26.0	3.24	-0.686	-7.235	 
5393.392	58.1	1.1	-0.006	0.0	 
5393.913	26.0	3.05	-4.253	-7.83	 
5394.304	22.0	3.29	-2.49	-7.54	 
5394.346	26.0	4.83	-2.102	-7.32	 
5394.626	25.0	0.0	-4.068	-7.795	 
5394.687	25.0	0.0	-4.149	-7.795	 
5394.69	25.0	0.0	-3.964	-7.795	 
5394.728	25.0	0.0	-9.492	-7.795	 
5394.73	25.0	0.0	-8.215	-7.795	 
5394.731	25.0	0.0	-8.268	-7.795	 
5394.742	25.0	0.0	-6.936	-7.795	 
5394.743	25.0	0.0	-4.653	-7.795	 
5395.217	26.0	4.45	-2.07	-7.143	 
5395.252	58.0	0.03	-4.946	0.0	 
5395.408	22.0	3.11	-2.378	-7.54	 
5395.445	606.0	1.18	0.694	0.0	6.25
5396.247	22.1	1.58	-3.18	-7.84	 
5396.561	22.1	2.6	-1.954	-7.85	 
5396.593	22.0	0.0	-3.37	-7.77	 
5396.61	22.0	0.02	-3.799	-7.77	 
5396.716	26.0	5.11	-2.203	-7.16	 
5396.716	26.0	5.06	-2.352	-7.25	 
5396.89	24.1	4.48	-4.081	-7.758	 
5396.898	26.0	3.02	-3.964	-7.82	 
5397.135	26.0	0.92	-1.991	-7.759	 
5397.618	26.0	3.63	-2.343	-7.589	 
5397.636	58.0	0.27	-2.199	0.0	 
5398.279	26.0	4.45	-0.63	-7.144	 
5398.812	26.0	5.01	-2.959	-7.46	 
5398.845	14.0	5.61	-2.372	-6.86	 
5399.45	25.0	3.85	-0.611	-6.35	 
5399.455	25.0	3.85	-2.855	-6.35	 
5399.465	25.0	3.85	-5.951	-6.35	 
5399.478	25.0	3.85	-7.504	-6.35	 
5399.485	25.0	3.85	-1.337	-6.35	 
5399.494	25.0	3.85	-0.828	-6.35	 
5399.497	25.0	3.85	-0.982	-6.35	 
5399.521	25.0	3.85	-1.236	-6.35	 
5399.555	25.0	3.85	-8.35	-6.35	 
5399.71	606.0	1.1	-2.903	0.0	6.25
5399.76	27.0	4.21	-1.411	-7.45	 
5400.501	26.0	4.37	-0.03	-7.187	 
5400.62	24.0	3.38	-0.506	-7.649	 
5400.655	26.0	3.63	-2.6180000000000003	-7.82	 
5401.266	26.0	4.32	-1.82	-7.219	 
5401.375	22.0	0.82	-2.877	-7.64	 
5401.7	24.0	4.62	-2.805	-7.75	 
5401.8327	23.0	2.684	-1.163	-7.73	 
5401.8803	39.0	1.89	-1.805	-7.52	 
5401.9261	23.0	2.359	0.07200000000000001	-7.76	 
5401.986	20.0	5.045	-2.077	-7.07	 
5401.9918	27.0	4.24	-0.198	-7.51	 
5402.0703	26.0	4.913	-2.218	-7.3	 
5408.13	27.0	2.28	-2.232	-7.76	 
5408.362	58.0	0.8	1.672	0.0	 
5408.815	26.1	5.96	-2.21	-7.795	 
5408.94	22.0	0.0	-3.836	-7.736	 
5409.133	26.0	4.37	-1.2	-7.189	 
5409.136	26.0	4.80	-2.058	-7.310	 
5409.162	606.0	1.03	1.113	0.0	6.25
5409.608	22.0	1.89	-0.73	-7.77	 
5409.766	14.0	5.62	-8.488	-6.86	 
5409.795	24.0	1.03	-0.544	-7.62	 
5410.424	58.1	0.7	-1.091	0.0	 
5410.46	23.0	2.58	-5.392	-7.69	 
5410.49	26.0	3.64	-3.84	-7.82	 
5410.910	26.0	4.47	 0.398	-7.82	 
5410.9502	22.0	3.161	-2.897	-7.52	 
5411.0014	22.0	2.48	-2.988	-7.77	 
5411.175	22.0	3.15	-2.398	-7.52	 
5411.218	28.0	4.09	-1.065	-7.37	 
5411.371	26.0	5.02	-8.161	-7.47	 
5411.389	26.0	3.64	-3.42	-7.82	 
5411.397	62.0	0.39	0.829	0.0	 
5411.95	23.0	2.36	-0.396	-7.77	 
5412.759	606.0	1.05	-0.364	0.0	6.25
5412.784	26.0	4.43	-1.709	-7.154	 
5413.095	14.0	5.62	-1.88	-6.87	 
5413.107	26.0	5.11	-7.122	-7.16	 
5413.193	606.0	0.99	0.433	0.0	6.25
5413.193	64.0	0.88	-3.214	0.0	 
5413.22	59.1	0.06	-4.354	0.0	 
5413.369	23.0	0.28	-4.672	-7.79	 
5413.6	25.0	3.86	-1.874	0.0	 
5413.605	25.0	3.86	-1.872	0.0	 
5413.639	25.0	3.86	-1.109	0.0	 
5413.649	25.0	3.86	-1.699	0.0	 
5413.697	25.0	3.86	-2.054	0.0	 
5413.699	27.0	4.06	-0.6940000000000001	-7.51	 
5413.702	25.0	3.86	-1.81	0.0	 
5413.930	40.0	0.687	-2.37	0.0	 
5414.040	606.0	1.01	-3.396	0.0	6.25
5414.070	26.1	3.221	-3.58	0.0	 
5414.106	58.0	0.55	-2.238	0.0	 
5414.861	39.0	1.85	-1.597	-7.52	 
5415.205	26.0	4.39	0.541	-7.182	 
5415.2488	23.0	2.374	0.28	0.0	 
5415.2596	26.1	6.703	-4.255	0.0	 
5415.303	60.0	0.29	1.369	0.0	 
5415.51	26.0	4.97	-3.649	-7.35	 
5415.538	26.0	5.1	-3.13	-7.17	 
5416.374	60.1	0.86	-0.985	0.0	 
5417.04	26.0	4.42	-1.35	-7.166	 
5418.0	40.1	1.76	-1.247	0.0	 
5418.12	14.0	5.62	-2.002	-6.86	 
5418.259	26.0	4.99	-2.804	-7.4	 
5418.768	22.1	1.58	-2.13	-7.85	 
5418.856	44.0	1.12	-2.2	0.0	 
5419.057	24.0	4.49	-2.38	-7.49	 
5419.158	26.0	4.19	-3.808	-7.72	 
5419.191	22.0	2.35	-1.244	-7.71	 
5419.362	607.0	0.66	-1.926	0.0	7.63
5419.391	23.0	1.93	-1.6130000000000002	-7.81	 
5419.89	25.0	6.13	-4.135	-7.87	 
5423.322	66.0	0.0	-4.108	0.0	 
5423.428	58.0	0.55	-3.816	0.0	 
5423.464	606.0	0.97	0.607	0.0	6.25
5423.467	16.0	9.71	-0.153	0.0	 
5423.467	606.0	1.61	-2.959	0.0	6.25
5423.738	26.0	3.69	-2.972	-7.82	 
5424.0602	23.0	2.359	-0.204	-7.76	 
5424.0678	26.0	4.32	0.52	0.0	 
5424.142	26.0	4.08	-2.326	-7.8	 
5424.536	28.0	4.17	-1.461	-7.56	 
5424.607	58.1	0.79	-0.429	0.0	 
5424.638	28.0	1.95	-2.809	-7.774	 
5424.669	606.0	0.95	1.109	0.0	6.25
5425.248	26.1	3.2	-3.22	-7.886	 
5425.646	27.0	4.07	-2.989	-7.73	 
5426.25	22.0	0.02	-2.95	-7.734	 
5433.382	606.0	0.93	-1.288	0.0	6.25
5433.397	25.0	5.37	0.113	-7.61	 
5433.402	606.0	0.97	-4.857	0.0	6.25
5433.44	606.0	0.93	-7.622	0.0	6.25
5433.577	606.0	0.93	-4.001	0.0	6.25
5433.599	606.0	1.03	-3.476	0.0	6.25
5433.604	26.0	5.37	-1.867	-7.51	 
5433.643	26.0	5.07	-1.369	-7.33	 
5434.155	23.0	2.37	-0.514	-7.72	 
5434.182	23.0	1.85	-3.381	-7.8	 
5434.534	26.0	1.01	-2.142	-7.749	 
5435.026	26.0	5.07	-1.454	-7.32	 
5435.042	74.0	0.21	-9.426	0.0	 
