# Wavelength     ele       EP      loggf   vdwaals   Do					
8555.563	607.0	0.89	-0.648	0.000	7.63
8555.902	14.0	5.62	-3.127	-7.320	nan
8555.920	607.0	0.759	-3.323	0.000	7.63
8555.937	607.0	0.77	-2.647	0.000	7.63
8556.507	607.0	0.9	-0.814	0.000	7.63
8556.676	58.1	0.7	-0.501	0.000	nan
8556.795	14.0	5.87	-0.192	-7.330	nan
8556.880	607.0	0.92	-1.380	0.000	7.63
8557.057	607.0	1.18	-0.474	0.000	7.63
8558.595	25.0	5.7	0.034	-7.570	nan
8559.040	27.0	4.24	-0.367	-7.550	nan
8559.738	26.0	5.11	-1.917	-7.710	nan
8560.000	56.0	1.41	0.946	0.000	nan
8561.605	26.0	5.72	-1.311	-7.330	nan
8562.104	26.0	4.47	-2.007	-7.550	nan
8562.133	607.0	1.06	-1.032	0.000	7.63
8562.364	607.0	0.91	-0.783	0.000	7.63
8563.827	607.0	0.9	-1.014	0.000	7.63
8570.659	24.0	5.32	0.202	-7.490	nan
8571.080	40.0	1.53	0.589	0.000	nan
8571.320	14.0	6.19	-1.906	-7.130	nan
8571.798	822.0	0.63	-0.748	0.000	6.94
8571.804	26.0	5.01	-1.112	-7.480	nan
8571.892	16.0	8.7	-0.339	0.000	nan
8573.219	607.0	0.82	-0.911	0.000	7.63
8573.274	22.0	4.51	-4.325	-7.330	nan
8573.336	607.0	0.99	-0.860	0.000	7.63
8573.533	26.0	5.74	-1.318	-7.330	nan
8581.661	607.0	1.08	-1.091	0.000	7.63
8581.786	607.0	0.86	-1.340	0.000	7.63
8582.271	26.0	2.99	-2.080	-7.780	nan
8582.771	607.0	1.11	-0.937	0.000	7.63
8582.890	607.0	0.94	-0.934	0.000	7.5
8582.906	24.0	5.67	0.044	-7.510	nan
8583.322	20.0	4.44	-0.632	-6.750	nan
8584.093	607.0	0.84	-1.237	0.000	7.63
8591.175	607.0	0.81	-0.939	0.000	7.63
8591.490	607.0	0.84	-1.151	0.000	7.63
8591.530	607.0	1.01	-0.892	0.000	7.63
8591.530	60.1	1.36	-1.530	0.000	nan
8592.121	26.0	5.01	-1.988	-7.570	nan
8592.909	58.1	0.61	-0.375	0.000	nan
8592.960	26.0	4.96	-0.907	-7.500	nan
8593.130	26.0	5.70	-1.008	-7.290	nan
8595.968	14.0	6.191	-0.831	-6.680	nan
8597.060	14.0	6.19	-1.133	-7.130	nan
8597.089	607.0	0.96	-3.278	0.000	7.63
8597.123	58.1	0.74	-0.983	0.000	nan
8597.276	26.0	5.27	-2.002	-7.510	nan
8597.373	607.0	0.89	-1.365	0.000	7.63
