#Wavelength	ele	EP	newloggf	vdwaals	Do	EW
5369.564	26.0	5.09	-2.963	-7.250	nan	0.39
5369.571	26.0	5.69	-0.747	-7.140	nan	14.43
5369.590	27.0	1.74	-1.492	-7.665	nan	48.1
5369.971	26.0	4.37	0.143	-7.179	nan	149.40
5370.323	27.0	3.73	-0.386	-7.550	nan	25.00
5370.985	26.0	4.28	-2.836	-7.520	nan	2.90
5371.330	28.0	4.42	-0.344	-7.276	nan	38.90
5371.436	26.0	4.43	-2.221	-7.460	nan	8.00
5371.489	26.0	0.96	-1.645	-7.753	nan	63.71
5371.506	24.0	3.84	-1.404	-7.780	nan	1.67
5371.561	58.0	0.00	-1.324	0.000	nan	0.00
5371.930	60.1	1.41	0.073	0.000	nan	3.03
5372.007	26.0	3.64	-4.244	-7.640	nan	0.48
5372.019	26.0	5.03	-2.345	-7.220	nan	1.79
5372.063	112.0	1.00	-0.832	0.000	1.34	0.06
5373.670	23.0	1.96	-2.133	-7.800	nan	0.06
5373.701	24.0	3.85	-1.109	-7.780	nan	3.15
5373.709	26.0	4.47	-0.700	-7.123	nan	57.45
5374.123	112.0	1.04	0.136	0.000	1.34	0.48
5374.145	26.0	5.03	-2.727	-7.280	nan	73.84
5374.270	112.0	0.73	-0.153	0.000	1.34	0.50
5374.396	25.0	5.38	-0.205	-7.550	nan	3.60
5379.580	26.0	3.69	-1.491	-7.575	nan	61.50
5380.287	112.0	1.06	-0.475	0.000	1.34	0.11
5380.317	112.0	0.97	-0.675	0.000	1.34	0.11
5380.325	6.0	7.68	-1.544	-7.370	nan	20.99
5381.015	16.0	7.87	-1.784	-6.710	nan	0.59
5381.022	22.1	1.57	-1.876	-7.850	nan	58.21
5381.307	41.0	0.74	-0.212	0.000	nan	0.50
5381.770	27.0	4.24	-0.336	-7.510	nan	4.30
5382.256	26.0	0.12	-8.998	-7.820	nan	0.03
5382.273	26.0	5.67	-0.518	-7.390	nan	30.77
5382.987	58.1	0.17	-1.540	0.000	nan	1.20
5383.378	26.0	4.31	0.421	-7.219	nan	197.21
5383.407	27.0	4.15	-0.776	-7.510	nan	1.97
5383.408	23.0	2.58	-0.380	-7.520	nan	0.88
5383.962	112.0	0.76	0.445	0.000	1.34	11.30
5384.055	23.0	3.27	-0.028	-7.440	nan	0.43
5384.114	112.0	1.00	0.354	0.000	1.34	0.87
5384.630	22.0	0.83	-2.844	-7.639	nan	1.60
5388.344	28.0	1.94	-3.390	-7.774	nan	13.90
5388.481	24.0	3.55	-3.559	-7.780	nan	0.02
5388.503	25.0	3.37	-1.674	-7.531	nan	5.68
5389.169	22.0	0.81	-2.350	-7.642	nan	8.90
5389.485	26.0	4.42	-0.410	-7.159	nan	84.40
5389.501	64.0	1.31	-0.244	0.000	nan	0.00
5389.844	26.0	4.99	-1.508	-7.43	nan	10.94
5389.872	606.0	1.09	-0.374	0.000	6.25	0.43
