#Wavelength	ele	EP	newloggf	vdwaals	Do	EW
5473.527	58.0	0.16	-1.017	0.000	nan	0.00
5473.542	22.0	2.33	-0.953	-7.720	nan	4.10
5473.763	27.0	4.24	-1.260	-7.450	nan	0.55
5473.773	606.0	0.78	0.372	0.000	6.25	4.76
5473.908	26.0	4.15	-0.760	-7.266	nan	75.80
5473.918	112.0	0.53	-1.594	0.000	1.34	0.00
5474.223	22.0	1.46	-1.213	-7.732	nan	14.00
5474.452	22.0	2.35	-0.912	-7.720	nan	4.30
5474.472	23.0	2.36	-1.549	-7.770	nan	0.10
5486.982	606.0	1.08	0.056	0.000	6.25	1.20
5486.989	23.1	2.27	-2.011	-7.860	nan	3.63
5487.001	822.0	0.42	-0.305	0.000	6.94	0.00
5487.002	24.0	2.97	-3.596	-7.790	nan	0.07
5487.141	26.0	4.42	-1.386	-7.283	nan	33.60
5487.487	26.0	5.07	-1.985	-7.260	nan	3.69
5487.495	822.0	0.41	0.508	0.000	6.94	0.00
5487.510	26.0	3.64	-2.744	-7.82	nan	20.0
5487.524	26.0	4.19	-2.456	-7.5	nan	10.2
5487.714	606.0	0.78	-0.908	0.000	6.25	0.26
5487.721	112.0	0.56	-1.212	0.000	1.34	0.00
5487.731	606.0	1.21	-0.361	0.000	6.25	0.34
5487.738	26.0	2.18	-4.154	-7.780	nan	0.00
5487.745	26.0	4.14	-0.490	-7.450	nan	87.40
5487.873	606.0	1.21	0.590	0.000	6.25	6.17
5487.889	27.0	2.14	-2.541	-7.760	nan	3.00
5487.915	23.0	2.37	-0.050	-7.627	nan	8.00
5487.930	606.0	0.78	-0.457	0.000	6.25	0.73
5488.120	27.0	4.21	-1.694	-7.510	nan	0.22
5488.135	26.0	4.61	-2.065	-7.410	nan	7.85
5488.140	822.0	0.27	-0.510	0.000	6.94	0.00
5488.178	22.0	2.40	-0.426	-7.520	nan	10.8
5488.188	112.0	0.70	-1.543	0.000	1.34	0.02
5496.449	606.0	1.09	-0.312	0.000	6.25	0.51
5496.477	26.0	3.57	-4.556	-7.820	nan	0.28
5496.562	26.0	4.91	-1.760	-7.345	nan	8.23
5496.579	822.0	0.47	-0.265	0.000	6.94	0.00
5496.582	606.0	1.09	-0.239	0.000	6.25	0.60
5496.787	112.0	0.93	0.466	0.000	1.34	1.54
5496.815	23.0	2.36	-0.492	-7.800	nan	1.12
5497.128	606.0	1.22	0.177	0.000	6.25	1.15
5497.133	606.0	0.69	-0.009	0.000	6.25	2.49
5497.181	112.0	0.64	-1.176	0.000	1.34	0.06
5497.196	606.0	0.69	-0.027	0.000	6.25	2.40
5497.361	25.0	4.33	-1.233	-7.770	nan	0.00
5497.409	39.1	1.75	-0.521	-7.750	nan	15.00
5497.489	822.0	0.30	-0.415	0.000	6.94	0.00
5497.516	26.0	1.01	-2.782	-7.751	nan	133.10
5500.797	606.0	0.73	-0.630	0.000	6.25	11.65
5500.798	112.0	0.75	-1.166	0.000	1.34	1.05
5500.971	606.0	0.68	-0.188	0.000	6.25	1.70
5501.429	22.0	3.20	-1.707	-7.520	nan	0.11
5501.449	606.0	1.19	-0.184	0.000	6.25	0.54
5501.465	26.0	0.96	-3.047	-7.757	nan	105.86
5501.477	606.0	1.05	-0.324	0.000	6.25	0.54
5501.493	27.0	1.96	-4.652	-7.790	nan	0.00
5501.528	606.0	0.65	-0.864	0.000	6.25	0.39
5501.538	42.0	2.52	0.421	0.000	nan	0.00
5501.538	16.0	7.87	-2.281	-6.790	nan	0.19
5501.611	606.0	1.05	-0.295	0.000	6.25	6.25
5501.641	28.0	4.54	-2.204	-7.280	nan	9.68
5501.676	822.0	0.32	0.822	0.000	6.94	0.00
5501.694	606.0	0.65	-0.049	0.000	6.25	0.00
5501.702	606.0	0.90	0.463	0.0	6.25	4.5
5501.714	606.0	0.89	0.454	0.0	6.25	4.5
5501.879	606.0	0.89	0.456	0.0	6.25	4.5
5501.883	606.0	0.90	0.466	0.0	6.25	4.5
5501.943	606.0	0.90	0.470	0.0	6.25	4.5
5502.085	24.1	4.17	-1.955	-7.845	nan	18.00
5505.633	822.0	0.53	0.302	0.000	6.94	0.00
5505.733	26.0	4.47	-2.477	0.000	nan	0.00
5505.753	112.0	0.40	-1.416	0.000	1.34	0.00
5505.845	6.0	8.85	-2.592	-6.660	nan	0.32
5505.862	23.0	2.36	-1.110	-7.790	nan	0.27
5505.864	822.0	0.34	-0.372	0.000	6.94	0.00
5505.866	25.0	2.18	-2.483	-7.740	nan	11.75
5505.881	26.0	4.42	-1.232	-7.510	nan	41.56
5506.131	822.0	0.34	0.054	0.000	6.94	0.00
5506.155	606.0	1.02	-0.295	0.000	6.25	3.10
5506.349	606.0	1.02	-0.316	0.000	6.25	1.22
5506.386	606.0	1.10	-0.148	0.000	6.25	1.23
5506.199	26.1	10.52	1.134	-7.590	nan	0.00
5506.492	24.0	3.89	-2.191	-7.730	nan	0.25
5506.493	42.0	1.33	0.060	0.000	nan	1.44
5506.779	26.0	0.99	-2.797	-7.753	nan	61.20
5506.965	16.0	7.87	-2.084	-6.790	nan	11.40
5507.735	23.0	1.71	-0.856	-7.780	nan	2.06
5507.757	23.0	2.36	-0.735	-7.630	nan	0.64
5514.215	21.0	1.85	-0.043	-7.720	nan	2.10
5514.227	822.0	0.39	-0.830	0.000	6.94	0.00
5514.244	112.0	0.54	-1.066	0.000	1.34	0.10
5514.349	22.0	1.43	-0.606	-7.71	nan	37.1
5514.537	22.0	1.44	-0.480	-7.71	nan	43.7
5514.793	28.0	3.85	-2.136	-7.234	nan	4.1
5514.804	606.0	0.96	-0.444	0.0	6.25	0.5
5514.813	606.0	0.63	-0.78	0.0	6.25	0.5
5514.884	606.0	0.60	-0.630	0.000	6.25	0.75
5514.905	112.0	0.61	-1.393	0.000	1.34	0.04
5514.918	822.0	0.38	-0.336	0.000	6.94	0.00
5514.940	606.0	0.96	-0.184	0.000	6.25	0.92
5514.947	606.0	0.60	-0.359	0.000	6.25	1.39
5514.981	606.0	0.63	-0.693	0.000	6.25	0.60
5515.079	23.0	0.07	-2.595	-7.780	nan	1.61
5515.082	606.0	0.60	-0.385	0.000	6.25	4.79
5515.385	606.0	1.12	-0.181	0.000	6.25	39.29
5515.387	21.0	1.94	-1.367	-7.830	nan	4.91
5515.609	606.0	0.76	0.455	0.0	6.25	6.0
5515.619	90.2	4.07	-2.840	0.000	nan	0.00
5515.630	606.0	1.19	-7.140	0.000	6.25	0.00
5516.275	60.0	1.20	-0.080	0.000	nan	0.00
5516.295	26.0	4.10	-2.774	-7.540	nan	4.90
5516.306	822.0	0.37	-0.330	0.000	6.94	0.00
5516.478	606.0	0.69	-1.139	0.000	6.25	0.19
5516.482	26.0	3.55	-3.352	-7.780	nan	4.41
5516.504	822.0	0.60	-0.226	0.000	6.94	0.00
5516.699	25.0	2.18	-3.27	-7.54	nan	45.50
5516.709	25.0	2.18	-2.91	-7.54	nan	45.50
5516.718	25.0	2.18	-2.91	-7.54	nan	45.50
5516.728	25.0	2.18	-4.48	-7.54	nan	45.50
5516.743	25.0	2.18	-2.77	-7.54	nan	45.50
5516.757	25.0	2.18	-2.77	-7.54	nan	45.50
5516.771	25.0	2.18	-2.95	-7.54	nan	45.50
5516.790	25.0	2.18	-2.88	-7.54	nan	45.50
5516.809	25.0	2.18	-2.88	-7.54	nan	45.50
5516.828	25.0	2.18	-2.40	-7.54	nan	45.50
5516.794	606.0	0.94	-0.432	0.000	6.25	0.54
5516.811	606.0	1.03	-0.259	0.000	6.25	0.66
5516.814	822.0	0.38	-0.330	0.000	6.94	0.00
5517.065	26.0	4.21	-1.993	-7.48	nan	18.1
5517.094	822.0	0.43	-0.767	0.000	6.94	0.00
5517.533	14.0	5.08	-2.423	-7.320	nan	13.70
5518.070	606.0	0.62	0.059	0.000	6.25	3.41
5518.107	606.0	0.69	-0.375	0.000	6.25	1.09
5518.359	58.1	0.55	-0.825	0.000	nan	2.61
5518.370	112.0	0.38	-0.414	0.000	1.34	0.61
5518.374	606.0	0.62	-0.459	0.000	6.25	16.23
5518.407	822.0	0.61	-0.223	0.000	6.94	0.00
5518.416	112.0	1.18	-0.228	0.000	1.34	0.16
5518.566	26.0	5.03	-2.328	-7.370	nan	3.0
5519.394	606.0	0.59	-0.375	0.0	6.25	4.4
5519.554	606.0	1.09	0.069	0.000	6.25	1.21
5519.556	606.0	0.59	-0.137	0.000	6.25	2.35
5519.580	26.0	6.15	-0.149	-7.510	nan	19.24
5519.799	606.0	1.01	0.464	0.000	6.25	3.55
5519.834	26.1	3.34	-5.956	-7.88	nan	7.0
5519.840	24.0	3.89	-2.212	-7.73	nan	7.1
5519.849	606.0	1.01	0.459	0.0	6.25	3.51
5519.860	112.0	0.85	-0.428	0.000	1.34	0.21
5520.002	112.0	0.94	-0.811	0.000	1.34	0.07
5520.030	606.0	0.69	-0.816	0.000	6.25	0.40
5520.034	112.0	0.47	-0.992	0.000	1.34	0.13
5520.179	58.1	1.67	-1.090	0.000	nan	0.12
5520.198	26.0	4.45	-2.864	-7.510	nan	1.92
5520.218	112.0	0.30	-1.482	0.000	1.34	0.06
5520.467	606.0	0.91	-0.421	0.000	6.25	0.60
5520.479	25.0	5.52	-0.332	-7.580	nan	1.26
5520.486	606.0	0.91	-0.425	0.000	6.25	0.59
5520.490	26.0	5.11	-1.835	-7.310	nan	4.73
5520.497	21.0	1.86	-0.574	-7.720	nan	0.62
5520.927	26.0	5.01	-1.612	-7.350	nan	9.20
5521.125	26.0	3.63	-3.048	-7.800	nan	7.16
5521.131	20.0	1.89	-4.555	-7.480	nan	0.35
5521.138	22.0	3.42	-1.591	-7.470	nan	0.09
5521.248	606.0	0.61	-0.415	0.0	6.25	1.2
5521.280	26.0	4.43	-2.352	-7.51	nan	5.9
5521.375	112.0	0.66	-1.334	0.000	1.34	0.04
5521.426	28.0	3.84	-2.184	-7.580	nan	3.76
5521.538	606.0	0.61	-0.639	0.000	6.25	0.72
5521.562	39.1	1.74	-1.109	-7.750	nan	4.78
5521.578	606.0	0.68	-1.100	0.000	6.25	0.21
5522.163	606.0	0.90	0.409	0.0	6.25	4.0
5522.233	606.0	0.90	0.408	0.0	6.25	4.0
5522.425	606.0	0.68	-0.955	0.000	6.25	0.30
5522.444	26.0	4.21	-1.417	-7.257	nan	42.9
5522.458	23.0	2.37	-1.064	-7.79	nan	0.3
5522.461	822.0	0.62	-0.213	0.000	6.94	0.00
5522.461	58.0	0.55	-0.539	0.000	nan	0.00
5524.990	27.0	4.11	-0.646	-7.500	nan	2.90
5525.113	822.0	0.49	0.488	0.000	6.94	0.00
5525.117	26.1	3.27	-4.067	-7.876	nan	11.7
5525.544	26.0	4.23	-1.084	-7.259	nan	85.83
5525.567	606.0	0.87	-0.296	0.000	6.25	0.87
5525.700	20.0	5.18	-0.671	-6.98	nan	4.0
5525.822	822.0	0.63	-0.206	0.000	6.94	0.00
5525.847	26.0	5.11	-2.009	-7.330	nan	3.23
5525.880	24.0	2.97	-4.048	-7.790	nan	0.03
5525.911	59.1	0.42	-1.597	0.000	nan	0.00
5525.920	24.1	3.76	-5.940	-7.860	nan	0.01
5526.202	26.0	5.07	-2.111	-7.310	nan	2.80
5526.306	606.0	0.97	-0.536	0.000	6.25	0.40
5526.332	822.0	0.65	-0.210	0.000	6.94	0.00
5526.813	21.1	1.77	0.044	-7.810	nan	73.70
5526.930	606.0	0.86	0.553	0.000	6.25	13.10
5531.947	606.0	0.54	-0.321	0.000	6.25	1.73
5531.983	26.0	4.91	-1.428	-7.351	nan	16.5
5532.032	58.1	1.70	-1.228	0.000	nan	0.08
5532.088	606.0	0.54	-0.627	0.000	6.25	0.87
5532.119	26.0	2.85	-4.718	-7.670	nan	0.95
5532.119	606.0	0.82	-0.718	0.000	6.25	0.37
5532.127	822.0	0.67	-0.197	0.000	6.94	0.00
5532.156	606.0	0.93	-0.856	0.000	6.25	0.21
5532.159	112.0	0.46	-1.505	0.000	1.34	0.04
5532.186	606.0	0.82	-1.438	0.000	6.25	0.07
5532.203	606.0	0.93	-1.085	0.000	6.25	0.12
5532.264	26.0	5.07	-3.209	-7.470	nan	0.23
5532.271	822.0	0.44	-0.285	0.000	6.94	0.00
5532.272	58.1	0.17	-2.680	0.000	nan	0.00
5532.329	606.0	1.02	-0.703	0.000	6.25	0.24
5532.332	606.0	0.93	-0.734	0.000	6.25	0.28
5532.347	606.0	0.82	-1.079	0.000	6.25	0.16
5532.747	26.0	3.57	-2.150	-7.762	nan	32.70
5532.862	26.1	6.73	-2.845	-7.889	nan	0.20
5532.866	26.0	4.45	-1.720	-7.520	nan	20.20
5533.031	42.0	1.33	-0.069	0.000	nan	26.21
5533.054	27.0	4.24	-1.172	-7.500	nan	5.57
5533.058	112.0	0.73	-0.248	0.000	1.34	0.41
5534.249	26.0	5.06	-2.127	-7.430	nan	2.76
5534.261	606.0	0.80	-0.783	0.000	6.25	0.33
5534.271	6.0	8.85	-2.769	-6.670	nan	0.21
5534.295	822.0	0.68	-0.194	0.000	6.94	0.00
5534.394	822.0	0.45	0.656	0.000	6.94	2.90
5534.659	26.0	3.64	-2.874	-7.810	nan	10.00
5534.835	112.0	0.27	-1.321	0.0	1.34	0.1
5534.848	26.1	3.25	-2.87	-7.883	nan	57.8
5535.320	60.1	1.41	-0.166	0.000	nan	1.81
5535.322	606.0	0.92	0.439	0.000	6.25	4.10
5535.344	23.0	0.02	-4.195	-7.763	nan	0.05
5535.392	822.0	0.47	-0.285	0.000	6.94	0.00
5535.412	26.0	3.25	-4.089	-7.820	nan	1.46
5535.413	112.0	0.27	-1.292	0.000	1.34	0.10
5535.414	606.0	0.79	-0.617	0.000	6.25	0.50
5535.418	26.0	4.19	-1.116	-7.8	nan	54.6
5535.520	56.0	0.0	0.45	0.0	nan	11.0
5535.545	26.0	6.15	0.406	-7.51	nan	49.0
5536.053	606.0	0.53	-0.325	0.000	6.25	1.76
5536.074	606.0	0.78	-0.529	0.000	6.25	0.63
5536.086	606.0	0.53	-0.408	0.000	6.25	1.46
5536.156	606.0	0.78	-1.821	0.000	6.25	0.03
5536.249	606.0	0.53	0.031	0.000	6.25	3.93
5543.030	26.0	4.19	-3.256	-7.470	nan	1.39
5543.030	26.0	3.69	-2.800	-7.810	nan	9.21
5543.170	822.0	0.48	-0.261	0.000	6.94	0.00
5543.189	26.0	4.91	-0.351	-7.290	nan	61.10
5543.933	606.0	0.50	-0.469	0.000	6.25	1.36
5543.936	26.0	4.22	-1.010	-7.263	nan	54.34
5543.947	26.1	5.57	-3.147	-7.885	nan	0.96
5544.147	606.0	0.50	-0.471	0.0	6.25	4.5
5544.167	606.0	0.95	-0.226	0.0	6.25	4.5
5544.284	606.0	0.95	-0.193	0.000	6.25	5.00
5544.328	606.0	0.54	-0.112	0.000	6.25	4.00
5544.586	112.0	0.37	-1.364	0.000	1.34	0.07
5544.600	39.1	1.74	-0.905	-7.750	nan	7.33
5545.931	23.0	1.06	-1.305	-7.593	nan	3.17
5545.936	27.0	4.11	-0.535	-7.51	nan	10.0	
5545.937	606.0	0.84	-1.597	0.000	6.25	0.00
5545.960	606.0	0.84	-0.258	0.000	6.25	1.71
5545.968	822.0	0.76	0.655	0.000	6.94	0.00
5546.009	39.1	1.75	-1.100	-7.750	nan	8.00
5546.491	822.0	0.76	-0.181	0.000	6.94	0.00
5546.506	26.0	4.37	-1.096	-7.224	nan	51.00
5546.714	24.0	2.98	-2.936	-7.790	nan	0.34
5546.725	26.0	5.01	-1.853	-7.400	nan	5.56
5546.969	27.0	4.23	-0.950	-7.510	nan	1.14
5546.990	26.0	4.22	-1.798	-7.263	nan	25.98
5547.009	22.0	3.15	-1.035	-7.580	nan	0.58
5553.069	822.0	0.80	-0.176	0.000	6.94	0.00
5553.104	606.0	0.79	0.121	0.0	6.25	2.7
5553.160	6.0	8.64	-1.458	-6.97	nan	5.7
5553.221	26.0	4.22	-2.795	-7.5	nan	3.5
5553.549	24.0	4.61	-0.234	-7.750	nan	4.54
5553.585	26.0	4.43	-1.203	-7.188	nan	35.8
5553.593	21.0	2.3	-0.944	-7.81	nan	0.1
5553.690	28.0	1.94	-3.137	-7.783	nan	22.2
5554.741	26.0	5.03	-1.656	-7.280	nan	0.00
5554.894	26.0	4.55	-0.229	-7.125	nan	99.50
5554.909	24.0	4.44	-2.084	-7.750	nan	0.10
5554.923	29.0	5.51	-0.988	-7.590	nan	0.20
5555.102	606.0	0.46	-1.392	0.000	6.25	0.18
5555.122	26.0	4.14	-3.057	-7.800	nan	2.43
5555.184	26.0	3.55	-5.233	-7.820	nan	0.06
5555.193	606.0	0.46	-1.344	0.000	6.25	0.20
5555.197	24.0	3.56	-3.120	-7.790	nan	0.06
5555.346	606.0	0.46	-0.622	0.000	6.25	1.05
5555.441	606.0	0.78	-0.276	0.000	6.25	1.12
5555.569	24.0	3.56	-2.094	-7.790	nan	0.65
5555.617	606.0	0.78	-0.218	0.000	6.25	1.28
5555.634	606.0	0.88	-0.155	0.000	6.25	1.18
5555.762	606.0	0.88	-0.531	0.000	6.25	0.50
5555.746	25.0	4.35	-1.303	-7.77	nan	6.0
5559.230	606.0	0.98	0.239	0.000	6.25	2.30
5559.639	26.0	4.99	-1.658	-7.300	nan	8.73
5559.718	112.0	0.55	-2.311	0.000	1.34	0.01
5559.845	606.0	0.86	-1.357	0.000	6.25	0.08
5559.860	20.0	4.78	-3.040	-7.230	nan	0.02
5559.893	26.0	4.64	-2.264	-7.310	nan	4.88
5560.215	26.0	4.43	-1.006	-7.189	nan	52.00
5561.439	112.0	0.53	-0.777	0.000	1.34	0.19
5561.445	58.1	1.46	-0.299	0.000	nan	1.17
5561.484	112.0	0.34	0.299	0.000	1.34	3.37
5561.659	606.0	0.73	-0.166	0.000	6.25	1.62
5561.663	23.0	1.71	-2.428	-7.740	nan	0.06
5561.717	606.0	0.74	-1.525	0.000	6.25	0.07
5561.791	112.0	0.74	-1.084	0.000	1.34	0.06
5562.092	28.0	4.54	-1.794	-7.27	nan	0.0
5562.116	26.0	4.39	-2.508	-7.51	nan	4.6
5562.118	822.0	0.56	-0.230	0.000	6.94	0.00
5562.273	606.0	0.49	-0.467	0.000	6.25	1.40
5562.514	112.0	0.22	-0.029	0.000	1.34	2.10
5562.704	26.0	3.27	-5.006	-7.810	nan	0.19
5562.706	26.0	4.43	-0.642	-7.520	nan	46.60
5562.708	22.0	0.90	-3.034	-7.632	nan	0.91
5563.307	112.0	0.52	-2.412	0.000	1.34	4.50
5563.354	112.0	0.50	-1.529	0.000	1.34	0.00
5563.600	26.0	4.19	-0.850	-7.268	nan	39.20
5563.669	24.0	3.42	-2.845	-7.760	nan	0.16
5563.671	27.0	3.57	-2.752	-7.550	nan	0.08
5563.676	26.0	4.14	-3.641	-7.450	nan	0.65
5563.680	606.0	0.72	-0.756	0.000	6.25	0.43
5563.693	26.0	2.42	-3.401	-7.750	nan	16.68
5565.449	606.0	0.71	-0.530	0.000	6.25	0.74
5565.463	822.0	0.60	-0.230	0.000	6.94	0.00
5565.474	22.0	2.24	-0.350	-7.730	nan	10.92
5565.480	26.1	6.73	-3.058	-7.890	nan	0.12
5565.684	112.0	0.38	0.340	0.000	1.34	0.00
5565.685	26.0	0.05	-8.133	-7.820	nan	0.23
5565.704	26.0	4.61	-0.203	-7.410	nan	75.93
5565.742	606.0	0.43	-0.771	0.000	6.25	0.80
5565.945	27.0	4.23	-1.015	-7.510	nan	0.00
5565.946	23.0	1.05	-2.188	-7.595	nan	0.00
5565.968	58.0	0.47	1.310	0.000	nan	0.00
5565.969	16.0	8.04	-1.003	-6.430	nan	0.00
5566.073	26.0	6.17	-0.462	-7.510	nan	10.52
5566.095	606.0	0.82	-0.275	0.000	6.25	1.03
5566.109	112.0	0.47	-1.599	0.000	1.34	0.03
5566.720	16.0	8.05	-2.004	-6.430	nan	0.00
5566.720	112.0	0.47	-0.775	0.000	1.34	0.22
5566.722	26.0	5.01	-1.971	-7.3	nan	4.33
5566.759	606.0	0.49	-0.997	0.0	6.25	0.0
5566.799	26.0	3.25	-3.564	-7.79	nan	5.0
5567.274	26.0	4.42	-1.961	-7.510	nan	13.83
5567.275	606.0	0.69	-0.604	0.000	6.25	0.65
5567.281	112.0	0.41	-2.167	0.000	1.34	0.01
5567.391	26.0	2.61	-2.668	-7.565	nan	57.64
5567.420	112.0	0.43	-1.372	0.000	1.34	0.06
5567.755	25.0	5.52	0.426	-7.580	nan	1.90
5567.761	39.0	1.92	-0.862	-7.680	nan	0.04
5567.820	58.0	1.06	0.069	0.000	nan	0.00
5567.824	112.0	0.21	-2.605	0.000	1.34	0.01
5567.831	26.1	6.73	-2.663	-7.890	nan	0.30
5568.074	26.0	4.15	-3.007	-7.510	nan	2.66
5568.086	112.0	0.43	-1.507	0.000	1.34	0.04
5568.821	22.0	0.84	-4.691	-7.770	nan	0.00
5568.860	26.0	3.63	-2.922	-7.770	nan	9.30
5569.034	606.0	0.42	-0.635	0.000	6.25	1.13
5569.037	44.0	1.00	-2.790	0.000	nan	0.01
5569.112	606.0	0.68	-1.527	0.000	6.25	0.08
5569.143	606.0	0.42	-1.467	0.000	6.25	0.17
5569.512	22.0	3.46	-0.294	-7.540	nan	1.60
5569.598	606.0	0.80	-0.284	0.000	6.25	1.06
5569.618	26.0	3.42	-0.486	-7.204	nan	98.80
5570.051	26.0	2.85	-4.131	-7.830	nan	0.00
5570.262	606.0	0.48	-1.328	0.000	6.25	0.20
5570.416	112.0	0.67	0.466	0.000	1.34	5.80
5570.539	25.1	6.18	-1.122	-7.880	nan	1.54
5570.578	24.0	4.11	-1.365	-7.770	nan	1.04
5570.580	606.0	0.67	-0.113	0.000	6.25	2.09
5570.784	822.0	0.61	0.663	0.000	6.94	2.20
5572.043	606.0	0.66	-0.583	0.000	6.25	0.73
5572.056	24.0	4.45	-1.620	-7.760	nan	0.28
5572.095	606.0	0.48	-1.193	0.000	6.25	0.27
5572.110	606.0	0.66	-0.440	0.000	6.25	1.02
5572.193	58.0	0.17	-1.188	0.000	nan	0.00
5572.204	26.0	3.25	-4.317	-7.830	nan	0.98
5572.297	822.0	0.61	-0.216	0.000	6.94	0.00
5572.346	112.0	1.04	-1.101	0.000	1.34	0.03
5572.382	606.0	0.41	-0.600	0.000	6.25	1.25
5572.402	26.0	4.99	-2.338	-7.180	nan	2.00
5572.469	606.0	0.41	-0.820	0.000	6.25	0.75
5572.500	27.0	2.28	-2.138	-7.760	nan	5.42
5572.664	606.0	0.41	-0.594	0.000	6.25	15.80
5572.842	26.0	3.40	-0.275	-7.211	nan	68.50
5573.102	26.0	4.19	-1.317	-7.570	nan	38.90
5573.110	822.0	0.63	-0.220	0.000	6.94	0.00
5573.390	822.0	0.62	0.664	0.000	6.94	5.00
5573.409	62.0	0.39	0.470	0.000	nan	2.40
5573.516	112.0	0.20	-0.979	0.000	1.34	0.25
5573.554	606.0	0.65	0.033	0.000	6.25	3.04
5573.558	112.0	0.70	-1.095	0.000	1.34	0.06
5573.574	112.0	0.18	-2.735	0.000	1.34	0.00
5573.659	25.0	5.54	-0.242	-7.580	nan	1.49
5573.707	27.0	4.23	-1.685	-7.510	nan	0.21
5573.724	25.0	4.36	-1.398	-7.770	nan	1.32
5573.734	606.0	0.65	-0.181	0.000	6.25	1.87
5573.757	26.0	5.07	-2.752	-7.310	nan	0.66
5574.344	112.0	0.20	-1.872	0.000	1.34	0.03
5574.388	26.0	4.42	-2.706	-7.510	nan	2.93
5574.393	24.0	4.45	-1.451	-7.760	nan	0.41
5574.419	112.0	0.53	-2.249	0.000	1.34	0.01
5575.500	60.0	1.04	-1.155	0.000	nan	0.00
5575.523	606.0	0.40	-0.402	0.000	6.25	2.00
5575.645	606.0	0.40	-0.269	0.000	6.25	2.70
5575.817	606.0	0.40	-1.010	0.000	6.25	0.50
5576.048	27.0	4.50	-1.710	-7.550	nan	0.11
5576.089	26.0	3.43	-0.791	-7.201	nan	128.54
5576.098	606.0	0.76	-0.279	0.000	6.25	1.17
5576.114	64.0	0.84	-1.068	0.000	nan	0.00
5576.209	606.0	0.62	-0.201	0.000	6.25	1.92
5576.232	606.0	0.76	-0.529	0.000	6.25	0.66
5577.025	26.0	5.03	-1.500	-7.390	nan	11.10
5577.321	606.0	0.61	-0.376	0.000	6.25	1.32
5577.339	8.0	1.97	-8.118	0.000	nan	1.72
5577.390	606.0	0.61	-0.395	0.000	6.25	1.27
5578.512	606.0	0.60	-0.497	0.000	6.25	4.60
5578.678	606.0	0.60	-0.449	0.000	6.25	1.14
5578.701	606.0	0.39	-0.548	0.000	6.25	1.47
5578.714	26.0	5.06	-3.143	-7.140	nan	0.28
5578.718	28.0	1.68	-2.729	-7.673	nan	51.67
5578.724	822.0	0.65	-0.210	0.000	6.94	0.00
5579.009	606.0	0.39	-1.115	0.000	6.25	0.40
5579.329	112.0	0.27	-1.033	0.000	1.34	0.19
5579.340	26.0	4.23	-2.299	-7.263	nan	10.31
5581.970	20.0	2.52	-0.300	-7.538	nan	108.58
5582.007	606.0	0.38	-0.671	0.000	6.25	1.14
5582.107	23.0	1.93	-2.384	-7.800	nan	0.04
5582.273	606.0	0.72	-0.271	0.000	6.25	1.31
5582.290	606.0	0.57	-0.446	0.000	6.25	1.23
5582.375	112.0	0.61	-1.341	0.000	1.34	0.04
5582.384	112.0	0.54	-2.187	0.000	1.34	0.01
5582.417	606.0	0.72	-0.419	0.000	6.25	0.93
5582.431	23.1	2.37	-3.029	-7.860	nan	0.30
5582.711	606.0	0.56	-0.026	0.000	6.25	3.26
5582.730	58.0	0.17	-0.165	0.000	nan	0.02
5582.809	606.0	0.56	-0.553	0.000	6.25	0.99
5582.960	606.0	0.56	-0.078	0.000	6.25	2.90
5582.964	822.0	0.65	-0.203	0.000	6.94	0.00
5582.981	112.0	0.25	-0.654	0.000	1.34	0.48
5583.003	606.0	0.48	-0.774	0.000	6.25	0.72
5586.256	112.0	1.00	0.412	0.000	1.34	0.00
5586.267	26.0	4.64	-2.210	-7.310	nan	5.49
5586.285	24.0	4.61	-2.756	-7.750	nan	0.01
5586.755	26.0	3.37	-0.120	-7.221	nan	109.49
5586.766	26.0	4.26	-2.903	-7.530	nan	1.11
5587.574	26.0	4.14	-1.628	-7.800	nan	35.40
5587.820	26.0	4.45	-3.735	-7.510	nan	0.27
5587.858	28.0	1.94	-2.438	-7.783	nan	52.84
5587.874	606.0	0.36	-0.716	0.000	6.25	1.08
5588.759	20.0	2.53	0.358	-7.538	nan	148.89
5588.764	26.0	3.30	-4.768	-7.800	nan	0.31
5588.968	26.0	5.03	-1.955	-7.410	nan	4.30
5589.346	26.0	5.07	-2.893	-7.320	nan	0.48
5589.358	28.0	3.90	-1.141	-7.221	nan	26.12
5589.851	26.0	5.07	-1.269	-7.430	nan	16.00
5590.114	20.0	2.52	-0.459	-7.539	nan	88.80
5590.151	26.0	4.10	-2.895	-7.550	nan	3.79
5590.666	27.0	2.04	-2.5	-7.82	nan	8.00
5590.718	27.0	2.04	-2.8	-7.82	nan	8.00
5590.727	27.0	2.04	-3.1	-7.82	nan	8.00
5590.738	27.0	2.04	-2.9	-7.82	nan	8.00
5590.769	27.0	2.04	-2.9	-7.82	nan	8.00
5590.784	27.0	2.04	-2.8	-7.82	nan	8.00
5590.812	27.0	2.04	-3.1	-7.82	nan	8.00
5590.818	27.0	2.04	-2.9	-7.82	nan	8.00
5591.360	26.1	3.27	-4.493	-7.883	nan	4.56
5591.364	21.0	1.99	-0.436	-7.830	nan	0.64
5593.735	28.0	3.90	-0.770	-7.222	nan	43.30
5594.420	60.1	1.12	0.684	0.000	nan	10.00
5594.458	24.0	3.10	-3.933	-7.730	nan	0.00
5594.465	20.0	2.52	-0.008	-7.539	nan	114.50
5594.655	26.0	4.55	-0.704	-7.510	nan	60.60
