# Wavelength     ele     EP     newloggf  vdwaals    Do    EW     loggf    diff%   EWdiff
5353.391	28.0	1.95	-2.81	-7.771	nan	24.55	-2.81	-8.6	0.02
5353.407	24.0	4.62	-1.084	-7.79	nan	0.66	-0.92	-17.8	0.0
5353.498	27.0	4.15	0.377	-7.51	nan	20.72	0.637	40.8	0.0
5353.524	58.1	0.88	-0.512	0.0	nan	2.5	0.09	668.9	0.0
5358.113	26.0	3.3	-3.215	-7.8	nan	9.6	-3.671	12.4	-0.01
5358.920	27.0	4.15	-0.614	-7.51	nan	2.82	-0.466	-31.8	0.0
5358.928	24.0	4.53	-1.224	-7.75	nan	0.58	-1.083	-13.0	0.0
5359.199	27.0	4.15	-0.044	-7.51	nan	9.5	0.244	118.0	0.0
5359.224	606.0	1.33	0.188	0.0	6.25	0.91	-0.332	156.6	0.0
5359.498	19.0	1.62	-2.349	0.0	nan	0.23	-2.88	18.4	0.0
5359.508	58.1	1.78	0.04	0.0	nan	1.22	-0.49	108.2	0.0
5359.552	606.0	1.22	0.393	0.0	6.25	1.85	-0.135	391.1	0.0
5359.715	23.0	2.33	-0.011	-7.760	nan	3.9	-1.611	0.0	0.0
5361.361	607.0	0.689	-0.826	0.0	7.50	3.7	-4.192	0.0	0.0
5361.417	112.0	0.54	-1.777	0.0	1.34	0.02	-1.777	-0.0	0.0
5361.477	60.1	0.68	-0.095	0.0	nan	10.0	-0.370	0.0	0.0
5361.507	60.1	0.68	-0.432	0.0	nan	4.76	-0.37	-16.8	0.0
5361.516	26.0	4.96	-2.704	-7.38	nan	0.92	-1.985	-36.2	0.0
5361.617	25.0	4.27	-2.209	-7.77	nan	0.25	-2.225	0.7	0.0
5361.619	26.0	4.42	-1.300	-7.152	nan	35.79	-1.43	3.0	0.01
5362.751	26.0	0.99	-4.652	-7.860	nan	38.90	-12.802	0.0	0.0
5362.760	27.0	4.23	0.644	-7.51	nan	38.9	0.404	271.3	0.0
5362.848	112.0	1.03	-0.707	0.0	1.34	0.07	-0.644	-9.8	0.0
5362.861	26.1	3.2	-2.508	-7.878	nan	70.51	-2.616	0.5	-0.04
5364.419	25.0	2.89	-2.359	-7.77	nan	3.5	-2.5	19.8	0.0
5364.871	26.0	4.45	0.228	-7.136	nan	72.63	0.228	401.3	-0.01
5364.890	106.0	0.31	-1.41	0.0	3.47	66.07	-1.378	-2.3	0.0
5365.379	606.0	1.19	-0.136	0.0	6.25	0.59	-0.136	-0.0	0.0
5365.385	64.0	1.31	-0.192	0.0	nan	0.0	-0.192	-0.0	0.0
5365.399	26.0	3.57	-1.029	-7.82	nan	84.31	-1.02	-0.9	-0.03
5366.639	22.0	0.82	-2.687	-7.639	nan	2.32	-2.46	-9.2	0.0
5366.649	606.0	1.21	-0.311	0.0	6.25	0.38	-0.092	-238.0	0.0
5366.753	27.0	4.14	-0.817	-7.510	nan	3.8	-2.417	0.0	0.0
5367.422	112.0	1.13	0.403	0.0	1.34	0.0	-1.468	127.5	0.73
5367.466	26.0	4.42	0.443	-7.153	nan	125.02	0.443	108.4	-0.01
5367.487	606.0	1.29	-0.101	0.0	6.25	0.51	-0.332	69.6	0.0
5368.276	58.1	1.67	-0.340	0.0	nan	5.0	-2.340	0.0	0.0
5368.435	112.0	0.77	-0.556	0.0	1.34	0.18	-1.056	47.3	0.0
5368.436	26.0	4.96	-1.971	-7.28	nan	4.72	-2.458	19.8	0.0
5368.537	24.0	3.85	-0.803	-7.78	nan	6.1	-1.083	25.9	0.0
5368.889	27.0	3.53	-1.382	-7.73	nan	2.5	-1.382	0.0	0.0	
5369.310	58.0	0.29	-0.949	0.0	nan	0.0	-0.949	0.0	0.0
5369.350	24.1	3.87	-2.798	-7.862	nan	5.77	-3.045	8.1	-0.01
5369.390	40.0	0.6	-2.315	0.0	nan	0.03	-2.44	5.1	0.0
5369.564	26.0	5.09	-2.963	-7.25	nan	0.39	-2.854	-3.8	0.0
5369.571	26.0	5.69	-0.747	-7.14	nan	14.43	-0.432	-72.9	0.0
5369.585	27.0	4.26	-1.432	-7.45	nan	0.35	-1.174	-22.0	0.0
5369.590	27.0	1.74	-1.492	-7.665	nan	48.19	-1.65	-3.8	0.03
5369.961	26.0	4.37	0.143	-7.179	nan	149.4	0.536	73.3	0.0
5370.323	27.0	3.73	-0.386	-7.55	nan	25.0	-0.276	0.0	0.0	
5370.985	26.0	4.28	-2.836	-7.52	nan	2.9	-3.377	16.0	0.0
5371.33	28.0	4.42	-0.344	-7.276	nan	38.9	-0.31	-11.0	-0.02
5371.436	26.0	4.43	-2.221	-7.46	nan	8.0	-1.186	-87.3	0.0
5371.489	26.0	0.96	-1.645	-7.753	nan	63.71	-1.645	122.6	3030.72
5371.506	24.0	3.84	-1.404	-7.78	nan	1.67	-0.615	-128.3	0.0
5371.561	58.0	0.0	-1.324	0.0	nan	0.0	-1.324	-0.0	0.0
5371.93	60.1	1.41	0.073	0.0	nan	3.03	-0.165	144.2	0.0
5372.007	26.0	3.64	-4.244	-7.64	nan	0.48	-4.158	-2.1	0.0
5372.019	26.0	5.03	-2.345	-7.22	nan	1.79	-2.255	-4.0	0.0
5372.063	112.0	1.0	-0.832	0.0	1.34	0.06	-0.644	-29.2	0.0
5373.670	23.0	1.96	-2.133	-7.8	nan	0.06	-2.32	8.1	0.0
5373.701	24.0	3.85	-1.109	-7.78	nan	3.15	-1.081	-2.6	0.0
